Date,AFG,AGO,ARE,ARG,ARM,AZE,BDI,BEN,BFA,BGD,BLZ,BOL,BRA,BTN,BWA,CAF,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,DJI,DOM,DZA,ECU,EGY,ERI,ETH,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GTM,GUF,GUY,HND,HTI,IDN,IND,IRN,IRQ,KAZ,KEN,KGZ,KHM,KOR,LAO,LBR,LKA,MAR,MDG,MEX,MLI,MMR,MOZ,MRT,MWI,MYS,NAM,NER,NGA,NIC,NPL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,PRK,PRY,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SSD,STP,SUR,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUR,TZA,UGA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
2000,965.0,22365.0,,0.0,0.0,0.0,11803.0,6403.0,44696.0,484.0,0.0,24.0,245.0,15.0,36.0,4050.0,39.0,30028.0,17946.0,93208.0,2160.0,124.0,89.0,,0.0,4.0,6.0,2.0,66.0,0.0,98.0,23008.0,362.0,0.0,19744.0,14603.0,456.0,2045.0,485.0,0.0,0.0,50.0,0.0,184.0,1550.0,29614.0,4.0,,,11766.0,0.0,1582.0,0.0,350.0,5890.0,77.0,,2239.0,0.0,22690.0,2746.0,42536.0,693.0,18912.0,35.0,1985.0,23204.0,226214.0,4.0,3.0,,860796.0,992.0,1.0,142.0,536.0,3142.0,0.0,0.0,6177.0,,5978.0,4360.0,476.0,13827.0,0.0,2968.0,11590.0,254.0,24.0,83.0,,9872.0,4938.0,625.0,0.0,0.0,211.0,0.0,44280.0,42056.0,0.0,26.0,154.0,34.0,2633.0,424.0,14647.0,2459.0
2001,965.0,23559.0,,0.0,0.0,0.0,11872.0,7608.0,45815.0,470.0,0.0,9.0,142.0,14.0,29.0,4906.0,30.0,31639.0,19003.0,102551.0,2648.0,168.0,89.0,0.0,0.0,4.0,17.0,1.0,84.0,0.0,133.0,21835.0,347.0,0.0,18932.0,12271.0,469.0,1568.0,490.0,0.0,3.0,52.0,0.0,187.0,1572.0,28622.0,2.0,,,13613.0,0.0,904.0,0.0,242.0,5713.0,52.0,0.0,2747.0,0.0,22848.0,2814.0,42565.0,659.0,18226.0,46.0,1728.0,22246.0,226394.0,2.0,3.0,,869897.0,1144.0,1.0,89.0,439.0,3075.0,0.0,0.0,5525.0,0.0,5702.0,3562.0,521.0,13832.0,0.0,3308.0,11420.0,248.0,23.0,62.0,,7984.0,5214.0,424.0,0.0,0.0,230.0,0.0,41667.0,46341.0,0.0,28.0,140.0,24.0,2944.0,81.0,14486.0,2475.0
2002,1133.0,21691.0,,0.0,0.0,0.0,10803.0,8583.0,44881.0,598.0,0.0,9.0,95.0,11.0,23.0,5181.0,42.0,32699.0,18854.0,89442.0,2374.0,162.0,89.0,2.0,0.0,4.0,11.0,0.0,64.0,0.0,86.0,20592.0,329.0,0.0,17932.0,12932.0,485.0,1216.0,495.0,0.0,2.0,42.0,0.0,191.0,1593.0,27269.0,2.0,,,13391.0,0.0,803.0,0.0,195.0,5373.0,30.0,,2221.0,0.0,21208.0,2804.0,40612.0,644.0,16518.0,38.0,1504.0,20549.0,230268.0,8.0,8.0,,837888.0,1001.0,2.0,108.0,180.0,2635.0,0.0,0.0,5385.0,0.0,4503.0,3343.0,513.0,13721.0,0.0,3255.0,10534.0,321.0,15.0,46.0,,8980.0,5666.0,361.0,0.0,0.0,199.0,0.0,35943.0,46832.0,0.0,23.0,98.0,52.0,3283.0,96.0,12203.0,2499.0
2003,798.0,21842.0,,1.0,0.0,0.0,9311.0,9850.0,41606.0,574.0,0.0,12.0,104.0,14.0,18.0,6069.0,52.0,34601.0,19955.0,103447.0,2370.0,118.0,89.0,4.0,0.0,4.0,12.0,0.0,46.0,0.0,112.0,22109.0,300.0,0.0,16738.0,12188.0,481.0,964.0,523.0,0.0,5.0,53.0,0.0,194.0,1615.0,27812.0,5.0,,,12672.0,0.0,1062.0,0.0,187.0,4903.0,4.0,,2917.0,0.0,20976.0,2830.0,37027.0,642.0,13882.0,21.0,1106.0,18243.0,205773.0,7.0,6.0,,809360.0,991.0,4.0,95.0,257.0,2816.0,0.0,0.0,4420.0,0.0,4219.0,3641.0,456.0,12823.0,0.0,3333.0,9668.0,193.0,18.0,30.0,,9696.0,6124.0,204.0,0.0,0.0,125.0,0.0,33124.0,44798.0,0.0,40.0,79.0,68.0,2964.0,142.0,10245.0,2529.0
2004,350.0,21219.0,,0.0,0.0,0.0,8155.0,11380.0,37437.0,505.0,1.0,9.0,102.0,7.0,19.0,6141.0,31.0,34158.0,20746.0,108750.0,2324.0,126.0,89.0,4.0,0.0,4.0,16.0,0.0,37.0,0.0,32.0,23299.0,253.0,0.0,15615.0,10657.0,471.0,867.0,550.0,2.0,1.0,51.0,0.0,197.0,1367.0,31321.0,1.0,,,11284.0,0.0,894.0,0.0,105.0,3789.0,1.0,,2062.0,0.0,20574.0,2854.0,32801.0,620.0,11893.0,35.0,1185.0,17868.0,226329.0,1.0,7.0,0.0,804511.0,643.0,2.0,98.0,233.0,3517.0,0.0,0.0,3689.0,0.0,3911.0,3550.0,652.0,11799.0,0.0,3151.0,8967.0,169.0,7.0,28.0,,8848.0,6728.0,230.0,0.0,0.0,449.0,0.0,29973.0,35430.0,0.0,35.0,51.0,46.0,2391.0,88.0,8669.0,2557.0
2005,259.0,20668.0,,0.0,0.0,0.0,6993.0,13391.0,33283.0,501.0,0.0,12.0,123.0,5.0,11.0,7050.0,48.0,29484.0,20550.0,112534.0,2204.0,87.0,92.0,2.0,0.0,4.0,16.0,0.0,22.0,0.0,59.0,16609.0,256.0,0.0,14843.0,9803.0,470.0,827.0,614.0,4.0,2.0,69.0,1.0,201.0,1647.0,32582.0,1.0,0.0,,10157.0,0.0,705.0,0.0,86.0,3969.0,0.0,0.0,1638.0,0.0,20957.0,2877.0,28667.0,617.0,11742.0,33.0,1325.0,21033.0,209804.0,6.0,10.0,0.0,766392.0,923.0,1.0,80.0,167.0,2796.0,0.0,0.0,3371.0,0.0,3956.0,3493.0,547.0,11172.0,0.0,3565.0,8259.0,85.0,1.0,17.0,0.0,10532.0,6824.0,161.0,0.0,0.0,304.0,0.0,27472.0,30951.0,0.0,34.0,37.0,35.0,2495.0,63.0,7515.0,2581.0
2006,222.0,19154.0,,0.0,0.0,0.0,6335.0,14527.0,32809.0,508.0,1.0,14.0,110.0,7.0,40.0,7364.0,38.0,28477.0,19397.0,115742.0,2035.0,77.0,89.0,8.0,0.0,29.0,10.0,0.0,9.0,0.0,47.0,15011.0,260.0,0.0,14959.0,9691.0,483.0,807.0,596.0,2.0,5.0,40.0,0.0,207.0,1957.0,27822.0,1.0,0.0,,9563.0,0.0,897.0,0.0,123.0,3338.0,1.0,0.0,1647.0,0.0,20663.0,2041.0,27312.0,597.0,11265.0,21.0,571.0,16688.0,238098.0,1.0,42.0,0.0,772678.0,882.0,1.0,52.0,203.0,2924.0,0.0,0.0,3153.0,0.0,3915.0,3575.0,549.0,10861.0,0.0,3323.0,8066.0,26.0,1.0,27.0,0.0,10954.0,6454.0,113.0,0.0,0.0,326.0,0.0,25312.0,27560.0,0.0,33.0,47.0,30.0,3027.0,87.0,6805.0,2613.0
2007,236.0,17620.0,,0.0,0.0,0.0,5559.0,14084.0,33345.0,263.0,0.0,11.0,93.0,2.0,6.0,6496.0,18.0,29345.0,16876.0,114113.0,1920.0,68.0,89.0,2.0,0.0,5.0,17.0,0.0,8.0,0.0,60.0,12435.0,263.0,0.0,14904.0,9937.0,491.0,798.0,588.0,3.0,5.0,20.0,2.0,187.0,1701.0,27868.0,3.0,0.0,,9398.0,0.0,394.0,1.0,115.0,3157.0,1.0,0.0,1540.0,0.0,20353.0,2560.0,24956.0,608.0,11018.0,15.0,181.0,18725.0,231657.0,0.0,4.0,0.0,750777.0,879.0,1.0,43.0,218.0,2692.0,0.0,0.0,3056.0,0.0,3555.0,3514.0,310.0,11874.0,0.0,2780.0,7575.0,3.0,1.0,17.0,0.0,11386.0,5790.0,97.0,0.0,0.0,226.0,0.0,23310.0,26344.0,0.0,37.0,30.0,36.0,2117.0,37.0,6398.0,4326.0
2008,198.0,15039.0,,0.0,0.0,0.0,4935.0,11839.0,36065.0,264.0,0.0,6.0,68.0,2.0,12.0,6334.0,23.0,30478.0,14277.0,96965.0,1801.0,54.0,89.0,2.0,0.0,5.0,11.0,0.0,5.0,0.0,37.0,10831.0,282.0,0.0,15464.0,10553.0,513.0,806.0,568.0,0.0,2.0,23.0,2.0,229.0,1723.0,29939.0,3.0,0.0,,9301.0,0.0,497.0,0.0,104.0,3559.0,0.0,0.0,1546.0,0.0,19802.0,3222.0,23439.0,622.0,11309.0,20.0,152.0,19721.0,220910.0,0.0,3.0,0.0,712867.0,679.0,1.0,34.0,144.0,2508.0,0.0,0.0,3007.0,0.0,3035.0,1609.0,182.0,13270.0,0.0,1772.0,7357.0,16.0,0.0,10.0,0.0,12024.0,4828.0,101.0,0.0,0.0,271.0,0.0,21901.0,26930.0,0.0,26.0,25.0,37.0,1361.0,43.0,6278.0,1763.0
2009,139.0,13152.0,,0.0,0.0,0.0,4675.0,10426.0,38166.0,187.0,0.0,6.0,85.0,4.0,6.0,7346.0,12.0,33352.0,13280.0,88664.0,1836.0,28.0,89.0,2.0,1.0,6.0,14.0,0.0,6.0,0.0,41.0,16042.0,313.0,0.0,16485.0,12609.0,522.0,858.0,558.0,0.0,1.0,28.0,1.0,215.0,1745.0,32084.0,0.0,0.0,,9459.0,0.0,853.0,1.0,120.0,3173.0,0.0,0.0,2373.0,0.0,19444.0,3023.0,23659.0,631.0,11464.0,23.0,68.0,26151.0,218497.0,0.0,8.0,0.0,722753.0,1000.0,0.0,31.0,116.0,3378.0,0.0,0.0,2969.0,0.0,2795.0,1038.0,142.0,14542.0,0.0,1144.0,7020.0,23.0,0.0,13.0,0.0,12810.0,4254.0,70.0,0.0,0.0,198.0,0.0,21916.0,27197.0,0.0,36.0,33.0,22.0,1779.0,45.0,6296.0,1955.0
