Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,12.185,18.764597,,,,105.542,,,,,,,,,,,,,,,,8.859108,,,,,,93.03,,,318.30246,,,,,,,,,,,,,,350.46,,,,,,,21.1055,,,64.866,,,,,,51.658,,,228.366,,,,,,,,,,,,,,,,,,,13.602456,130.065,,33.016,,,,130.909,,,411.23752,76.05253,,,,,,42.26278,,,,,,,,,,,,,,,,,66.13924,,,,,,,,,,,,11.211,,,,,,,56.304,,,,,,,6285.474,,,,,,133.28195,,,,,,,,,702.95685,,51.654,,,,,,,,,,,,,,,,,,,,,,,19.330914,,,,,,,22.168,19.900925,,,207.98058,,1929.3295,,,,,,3.5919998,,,,135.445,,
1986,,,,,12.815001,22.156956,,,,110.142,,,,,,,,,,,,,,,,16.371967,,,,,,84.679,,,354.98135,,,,,,,,,,,,,,358.76602,,,,,,,23.488998,,,63.113,,,,,,39.434,,,234.33899,,,,,,,,,,,,,,,,,,,13.960245,145.088,,35.136,,,,135.358,,,410.4529,80.31221,,,,,,37.35,,,,,,,,,,,,,,,,,74.8984,,,,,,,,,,,,12.049,,,,,,,60.095997,,,,,,,6439.9746,,,,,,135.96599,,,,,,,,,731.84753,,55.684685,,,,,,,,,,,,,,,,,,,,,,,19.13811,,,,,,,27.778599,27.969757,,,219.33575,,1904.2202,,,,,,4.12,,,,136.03001,,
1987,,,,,13.658,23.631775,,,,117.136,,,,,,,,,,,,,,,,13.192775,,,,,,100.458,,,397.24274,,,,,,,,,,,,,,355.246,,,,,,,26.685,,,62.656,,,,,,35.704002,,,240.724,,,,,,,,,,,,,,,,,,,16.137081,169.386,,37.246,,,,154.70801,,,434.16455,82.75804,,,,,,35.59296,,,,,,,,,,,,,,,,,82.46221,,,,,,,,,,,,12.502,,,,,,,61.899,,,,,,,6757.7617,,,,,,141.45013,,,,,,,,,760.06995,,65.00029,,,,,,,,,,,,,,,,,,,,,,,24.51246,,,,,,,25.6772,28.929663,,,221.48013,,1994.5104,,,,,,4.6670003,,,,142.815,,
1988,,,,,14.84,31.288416,,,,123.16,,,,,,,,,,,,,,,,11.912065,,,,,,113.032005,,,436.042,,,,,,,,,,,,,,355.32,,,,,,,29.883501,,,51.372997,,,,,,33.093,,,236.545,,,,,,,,,,,,,,,,,,,19.773304,180.61299,,38.724,,,,156.019,,,467.1795,81.42551,,,,,,49.4421,,,,,,,,,,,,,,,,,85.76171,,,,,,,,,,,,13.677001,,,,,,,62.479,,,,,,,6998.179,,,,,,139.93257,,,,,,,,,769.7626,,70.091064,,,,,,,,,,,,,,,,,,,,,,,28.664879,,,,,,,19.0308,39.453445,,,213.26675,,2088.5515,,,,,,4.994,,,,143.083,,
1989,,,,,15.612,32.40442,,,,131.71199,,,,,,,,,,,,,,,,11.815858,,,,,,124.746,,,466.40103,,,,,,,,,,,,,,362.116,,,,,,,31.1275,,,70.158005,,,,,,47.112,,,234.32901,,,,,,,,,,,,,,,,,,,22.207033,205.05501,,44.699,,,,169.058,,,498.25082,82.26334,,,,,,51.700493,,,,,,,,,,,,,,,,,89.646736,,,,,,,,,,,,16.27,,,,,,,65.393,,,,,,,7455.736,,,,,,141.47351,,,,,,,,,780.43555,,75.7298,,,,,,,,,,,,,,,,,,,,,,,31.8196,,,,,,,34.041,48.903896,,,218.65434,,2267.343,,,,,,3.946,,,,148.462,,
1990,,,,,17.081001,25.453697,,,,139.4025,16.63,,,27.01,,,,25.61,,,,,,,,10.016052,,,,,,108.342,,,494.388,,,,,,,,,,,,1.97,48.52,370.69,,,25.11,,,,31.9995,,,70.86,17.18,,19.12,,,47.34,,,248.27,,,,,,,,32.43,,,,,,,,4.88,,14.51,25.49286,214.903,13.51,50.274,,,,178.25,,,579.75256,80.013,,,,,,59.211876,,,,,,,,,10.96,0.54,2.15,,,,,,85.0457,5.26,,1.11,,,,,,,,,19.027,,,,,,,66.38,0.25,,,,,,7615.0615,,,,,,132.94,,,18.5,,,,,52.89,796.96436,,79.88046,,,,,,,,,,31.48,,,,11.57,4.87,3.35,,,,,,,39.18739,,,,,,,34.31,48.927956,,,214.03,,2261.9565,,,,,,3.3119998,,,,155.926,,
1991,,,,,17.222,29.512009,,,,141.30305,17.51,,,27.79,,,,25.24,,,,,,,,11.152684,,,,,,111.242004,,,552.78595,,,,,,,,,,,,2.08,47.08,371.81,,,35.39,,,,33.36,,,71.32,14.63,,20.25,,,60.57,,,247.1,,,,,,,,32.09,,,,,,,,3.04,,16.02,29.64,240.91699,14.16,57.207,,,,172.9,,,585.3626,78.25163,,,,,,70.25366,,,,,,,,,12.03,0.61,2.37,,,,,,95.867775,4.92,,1.42,,,,,,,,,22.144,,,,,,,68.96,0.22,,,,,,7722.664,,,,,,131.22,,,19.88,,,,,42.21,780.0205,,84.99571,,,,,,,,,,28.1,,,,11.16,4.18,5.1,,,,,,,45.58537,,,,,,,37.44,58.131348,,,193.16,,2261.573,,,,,,2.8930001,,,,155.388,,
1992,,,,,18.689001,29.29002,,,,144.3579,13.73,,,27.34,,,,21.99,,,,,,,,11.730592,,,,,,118.746,,,623.0066,,,,,,,,,,,,2.43,45.4,355.24,,,29.24,,,,35.187,,,81.27,11.83,,18.38,,,50.47,,,237.92,,,,,,,,34.55,,,,,,,,4.54,,17.51,29.55113,260.481,14.93,57.974,,,,176.91,,,598.27527,75.83864,,,,,,85.043846,,,,,,,,,3.6,0.58,1.32,,,,,,95.17244,5.22,,1.49,,,,,,,,,27.095108,,,,,,,71.04,0.21,,,,,,7807.95,,,,,,129.06,,,23.99,,,,,42.31,714.3509,,93.473175,,,,,,,,,,25.14,,,,10.25,4.95,6.02,,,,,,,52.84835,,,,,,,40.66,63.056953,,,172.31,,2299.6826,,,,,,2.477,,,,156.717,,
1993,,,,,21.73,29.867476,,,,147.8949,13.26,,,27.64,,,,22.08,,,,,,,,11.512184,,,,,,109.691,,,657.80646,,,,,,,,,,,,2.59,44.51,346.92,,,32.17,,,,36.6445,,,73.93,9.12,,21.69,,,34.61,,,228.04,,,,,,,,35.4,,,,,,,,4.97,,18.9,29.72238,284.87,15.34,64.153,,,,174.52,,,561.3502,69.81476,,,,,,97.75367,,,,,,,,,1.28,0.59,1.05,,,,,,96.55077,4.66,,1.5,,,,,,,,,30.02435,,,,,,,70.83,0.24,,,,,,7858.7534,,,,,,130.23,,,21.41,,,,,42.59,660.4453,,102.66853,,,,,,,,,,21.9,,,,9.09,4.95,6.99,,,,,,,59.695396,,,,,,,39.72,73.88468,,,145.08,,2398.6462,,,,,,2.697,,,,165.96,,
1994,,,,,23.736,29.624355,,,,152.97911,15.05,,,30.11,,,,21.34,,,,,,,,11.892286,,,,,,112.156,,,744.7614,,,,,,,,,,,,2.68,43.64,346.92,,,38.64,,,,37.822,,,75.82,9.15,,27.92,,,33.67,,,231.3,,,,,,,,37.38,,,,,,,,3.3,,19.26,36.33942,302.238,15.85,74.108,,,,180.5,,,637.0835,57.222256,,,,,,120.613365,,,,,,,,,1.6,0.48,1.13,,,,,,115.38509,5.25,,1.54,,,,,,,,,33.271206,,,,,,,73.03,0.4,,,,,,8119.2334,,,,,,131.51,,,19.49,,,,,41.99,599.4975,,106.04596,,,,,,,,,,21.9,,,,8.51,4.88,8.14,,,,,,,66.64806,,,,,,,47.61,80.574234,,,123.21,,2441.0027,,,,,,3.045,,,,169.402,,
1995,,,,,24.982,32.993557,,,,158.38585,16.14,,,31.49,,,,22.22,,,,,,,,13.583602,,,,,,117.882904,,,799.97894,,,,,,,,,,,,2.5,45.94,351.71,,,34.72,,,,39.46,,,85.23,8.68,,25.23,,,38.52,,,241.78,,,,,,,,37.38,,,,,,,,3.55,,19.77,43.61236,342.552,16.84,76.03,,,,195.91,,,618.4401,58.3333,,,,,,130.7879,,,,,,,,,1.33,0.38,1.05,,,,,,107.88572,5.33,,1.63,,,,,,,,,40.3565,,,,,,,74.35,0.42,,,,,,8335.389,,,,,,135.09,,,23.53,,,,,42.36,581.632,,109.928024,,,,,,,,,,22.28,,,,10.11,4.87,7.8,,,,,,,73.00144,,,,,,,50.39,88.41822,,,114.99,,2466.5684,,,,,,4.066,,,,173.551,,
1996,,,,,26.571999,39.086494,,,,162.8564,17.66,,,31.24,,,,21.71,,,,,,,,16.32803,,,,,,115.66495,,,877.3631,,,,,,,,,,,,2.61,48.72,361.66,,,51.3,,,,42.086,,,75.63,9.09,,32.07,,,43.35,,,250.51,,,,,,,,37.78,,,,,,,,3.27,,20.65,47.69802,364.10602,18.11,80.926,,,,193.17,,,628.6187,51.331245,,,,,,146.31406,,,,,,,,,1.97,0.37,1.26,,,,,,111.17831,5.79,,1.66,,,,,,,,,48.225372,,,,,,,78.09,0.52,,,,,,8627.088,,,,,,139.13,,,18.42,,,,,43.88,581.2496,,112.16712,,,,,,,,,,20.83,,,,9.98,4.73,12.34,,,,,,,79.56951,,,,,,,54.12,94.439995,,,96.01,,2522.6,,,,,,4.936,,,,184.718,,
1997,,,,,28.463999,36.126453,,,,171.65184,17.77,,,29.87,,,,22.11,,,,,,,,18.456326,,,,,,131.777,,,922.2185,,,,,,,,,,,,2.73,49.53,352.99,,,41.21,,,,45.013,,,96.86,9.21,,28.07,,,39.04,,,245.34,,,,,,,,38.89,,,,,,,,4.36,,21.16,62.09452,386.895,18.84,91.042,,,,200.31,,,616.7552,45.198544,,,,,,164.06529,,,,,,,,,2.07,0.31,1.56,,,,,,124.02438,5.83,,1.69,,,,,,,,,55.762257,,,,,,,80.68,0.47,,,,,,8911.25,,,,,,138.81,,,19.66,,,,,33.8,565.68225,,119.10448,,,,,,,,,,24.69,,,,9.91,5.07,7.25,,,,,,,85.30626,,,,,,,63.11,103.86767,,,89.85,,2613.2473,,,,,,7.4750004,,,,192.869,,
1998,,,,,33.392,39.8806,,,,182.1884,16.79,,,35.16,,,,21.45,,,,,,,,19.504225,,,,,,149.27548,,,951.15814,,,,,,,,,,,,2.99,49.45,362.74,,,36.99,,,,48.5925,,,97.51,8.54,,23.86,,,54.5,,,254.57,,,,,,,,41.91,,,,,,,,5.41,,23.03,63.04021,407.69702,19.67,94.897,,,,207.18,,,614.7362,43.573063,,,,,,141.34439,,,,,,,,,3.18,0.22,1.48,,,,,,141.04253,5.97,,1.72,,,,,,,,,59.684265,,,,,,,83.26,0.44,,,,,,9214.596,,,,,,138.24,,,24.6,,,,,28.79,562.41974,,126.16768,,,,,,,,,,24.91,,,,10.07,5.23,7.11,,,,,,,84.13468,,,,,,,68.46,114.786354,,,82.35,,2738.7798,,,,,,10.593,,,,187.52701,,
