Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,19.8,44.7,65.9,100.0,100.0,99.2,95.7,100.0,100.0,100.0,93.5,0.2,100.0,4.5,5.8,12.6,100.0,100.0,44.95,98.8,83.4,76.4,94.0,100.0,100.0,65.8,58.3,0.5,100.0,100.0,100.0,57.9,18.7,19.2,3.1,16.9,80.8,85.0,3.2,69.9,92.4,87.65,100.0,100.0,100.0,6.5,88.1,100.0,87.1,99.2,93.8,99.1,8.2,100.0,100.0,2.2,100.0,32.9,100.0,11.7,80.5,100.0,66.1,15.3,0.8,2.6,1.2,22.9,100.0,92.5,36.9,100.0,42.5,100.0,3.6,100.0,40.3,35.0,100.0,96.9,95.4,100.0,100.0,100.0,86.3,99.9,100.0,91.5,7.1,71.3,11.7,3.0,100.0,100.0,100.0,3.5,0.4,95.4,22.0,31.3,100.0,100.0,100.0,96.6,100.0,91.9,1.0,93.3,84.9,56.25,67.9,0.9,100.0,9.3,63.3,34.9,3.1,41.1,97.6,2.4,96.5,40.7,1.4,1.8,44.6,94.0,100.0,100.0,21.7,100.0,100.0,100.0,57.16206,35.6,100.0,65.7,40.2,100.0,7.6,100.0,5.7,100.0,57.4,100.0,100.0,100.0,0.3,100.0,32.2,33.3,100.0,8.2,0.4,76.7,100.0,1.1,67.5,0.0,1.1,87.3,100.0,100.0,100.0,39.2,100.0,98.2,2.7,3.4,73.1,68.6,99.9,4.5,59.4,100.0,99.3,94.2,44.6,1.4,0.9,94.5,100.0,100.0,85.4,95.5,96.8,50.9,12.9,26.6,59.2,77.5,16.1,30.4
2011,21.3,44.9,68.6,100.0,100.0,99.4,96.3,100.0,100.0,100.0,94.4,0.2,100.0,4.7,6.4,13.4,100.0,100.0,43.3,99.0,83.6,77.8,94.4,100.0,100.0,69.1,59.8,0.5,100.0,100.0,100.0,60.3,19.4,20.0,3.3,18.4,80.2,85.8,3.6,71.1,92.8,88.8,100.0,100.0,100.0,6.8,88.3,100.0,87.6,99.3,93.8,99.4,8.5,100.0,100.0,2.6,100.0,34.1,100.0,11.8,81.8,100.0,68.5,16.3,0.8,2.4,1.1,23.3,100.0,92.3,37.0,100.0,43.35,100.0,3.7,100.0,46.1,36.95,100.0,96.9,96.3,100.0,100.0,100.0,87.4,99.9,100.0,92.1,7.9,72.4,13.1,3.5,100.0,100.0,100.0,3.9,0.4,95.6,22.7,32.8,100.0,100.0,100.0,96.9,100.0,93.2,1.0,95.0,84.8,59.8,69.3,0.9,100.0,11.1,62.8,36.7,3.3,41.8,97.8,2.4,96.2,41.2,1.5,2.2,45.7,94.8,100.0,100.0,23.5,100.0,100.0,100.0,58.34087,36.6,100.0,67.4,40.7,100.0,8.0,100.0,6.2,100.0,59.0,100.0,100.0,100.0,0.4,100.0,35.8,32.1,100.0,8.1,0.5,78.5,100.0,1.25,68.6,0.0,1.3,88.3,100.0,100.0,100.0,40.6,100.0,98.0,2.9,3.9,74.3,71.0,99.9,5.2,62.0,100.0,99.5,94.4,50.5,1.7,0.9,94.7,100.0,100.0,85.3,95.3,96.7,56.6,12.9,27.5,59.1,79.2,15.8,30.3
2012,22.9,45.6,70.8,100.0,100.0,99.5,96.8,100.0,100.0,100.0,95.2,0.2,100.0,4.9,7.1,14.5,100.0,100.0,43.0,99.2,83.5,78.9,94.8,100.0,100.0,72.2,60.5,0.6,100.0,100.0,100.0,63.1,20.9,20.8,3.4,20.2,79.9,86.5,4.1,71.8,93.1,90.1,100.0,100.0,100.0,7.3,88.6,100.0,88.0,99.4,94.0,99.5,9.2,100.0,100.0,3.0,100.0,35.7,100.0,12.1,83.0,100.0,71.3,17.5,0.8,2.3,1.1,23.9,100.0,92.0,37.5,100.0,44.0,100.0,3.8,100.0,51.5,39.3,100.0,97.1,97.1,100.0,100.0,100.0,88.0,99.9,100.0,92.2,8.8,73.7,14.7,4.1,100.0,100.0,100.0,4.3,0.4,95.8,23.4,34.3,100.0,100.0,100.0,97.3,100.0,94.3,1.0,96.4,84.8,61.6,70.7,0.9,100.0,13.0,62.4,38.6,3.6,42.6,98.1,2.3,95.4,42.0,1.6,2.7,47.0,95.7,100.0,100.0,25.1,100.0,100.0,100.0,59.64518,38.0,100.0,69.4,41.6,100.0,8.2,100.0,6.8,100.0,60.7,100.0,100.0,100.0,0.5,100.0,39.2,31.1,100.0,8.2,0.5,80.4,100.0,1.4,69.7,0.0,1.5,89.2,100.0,100.0,100.0,42.0,100.0,97.7,3.1,4.65,75.5,72.8,99.9,5.9,64.9,100.0,99.6,94.5,55.3,2.0,0.9,94.8,100.0,100.0,85.2,95.1,96.5,62.3,13.0,28.5,58.7,80.5,15.4,30.0
2013,24.4,46.1,72.8,100.0,100.0,99.6,97.1,100.0,100.0,100.0,95.9,0.2,100.0,5.0,7.6,15.5,100.0,100.0,42.7,99.3,83.3,80.0,95.0,100.0,100.0,74.9,61.2,0.6,100.0,100.0,100.0,65.9,22.4,21.4,3.6,22.0,79.5,87.1,4.5,73.1,93.6,91.0,100.0,100.0,100.0,7.6,89.1,100.0,88.4,99.5,94.1,99.7,9.4,100.0,100.0,3.4,100.0,37.0,100.0,12.1,84.1,100.0,74.0,18.8,0.8,2.2,1.1,23.6,100.0,91.5,38.3,100.0,44.7,100.0,3.8,100.0,57.0,42.4,100.0,97.0,97.7,100.0,100.0,100.0,88.6,99.9,100.0,92.8,9.9,74.5,16.4,4.7,100.0,100.0,100.0,4.8,0.4,95.7,24.2,35.9,100.0,100.0,100.0,97.5,100.0,95.1,1.0,97.1,84.7,63.3,71.7,0.9,100.0,15.6,62.3,40.1,3.7,42.9,98.3,2.3,94.5,42.8,1.7,3.4,48.3,96.4,100.0,100.0,26.8,100.0,100.0,100.0,61.05513,39.2,100.0,71.3,42.4,100.0,8.5,100.0,7.3,100.0,62.2,100.0,100.0,100.0,0.6,100.0,41.8,30.1,100.0,8.3,0.5,82.15,100.0,1.6,70.8,0.0,1.7,90.1,100.0,100.0,100.0,43.6,100.0,97.3,3.5,5.2,76.7,74.9,99.9,6.8,68.0,100.0,99.7,94.7,60.0,2.4,0.9,95.0,100.0,100.0,84.7,94.8,96.5,68.6,13.0,29.7,58.4,81.8,15.1,30.1
2014,25.8,46.8,74.7,100.0,100.0,99.7,97.4,100.0,100.0,100.0,96.4,0.2,100.0,5.1,8.3,16.8,100.0,100.0,42.1,99.4,83.4,81.1,95.4,100.0,100.0,77.7,62.0,0.6,100.0,100.0,100.0,69.0,24.0,22.1,3.8,23.9,78.9,88.1,5.1,74.3,94.0,91.8,100.0,100.0,100.0,8.0,89.2,100.0,88.8,99.5,94.3,99.8,9.9,100.0,100.0,3.8,100.0,38.6,100.0,12.5,85.2,100.0,76.9,19.9,0.8,2.2,1.1,23.9,100.0,91.0,38.9,100.0,45.4,100.0,3.8,100.0,61.9,44.8,100.0,97.0,98.1,100.0,100.0,100.0,89.2,99.9,100.0,93.0,11.2,75.5,18.5,5.5,100.0,100.0,100.0,5.2,0.4,95.5,25.4,37.5,100.0,100.0,100.0,97.7,100.0,95.8,1.0,97.9,84.7,64.1,72.7,1.0,100.0,18.3,62.0,41.9,4.1,43.8,98.4,2.2,94.0,43.5,1.9,4.3,49.7,96.9,100.0,100.0,28.4,100.0,100.0,100.0,62.37511,40.3,100.0,73.4,44.0,100.0,8.7,100.0,8.0,100.0,63.6,100.0,100.0,100.0,0.8,100.0,45.75,29.2,100.0,8.3,0.5,83.9,100.0,1.8,71.8,0.0,1.9,91.0,100.0,100.0,100.0,44.5,100.0,96.7,3.8,6.0,77.7,76.6,99.9,7.8,70.65,100.0,99.8,94.9,63.6,2.8,0.9,95.1,100.0,100.0,84.5,94.5,96.3,74.5,13.4,30.7,57.8,83.0,14.5,29.8
2015,27.5,47.0,76.5,100.0,100.0,99.8,97.6,100.0,100.0,100.0,96.9,0.2,100.0,5.2,9.0,18.1,100.0,100.0,41.7,99.5,83.5,82.2,95.7,100.0,100.0,80.0,62.4,0.6,100.0,100.0,100.0,71.6,25.9,22.8,3.9,25.8,78.7,88.7,5.5,75.3,94.3,92.6,100.0,100.0,100.0,8.5,89.2,100.0,89.5,99.6,94.4,99.8,10.2,100.0,100.0,4.3,100.0,40.55,100.0,12.7,86.0,100.0,79.4,21.4,0.8,2.1,1.1,24.2,100.0,90.5,39.7,100.0,46.0,100.0,3.9,100.0,66.8,48.4,100.0,97.0,98.5,100.0,100.0,100.0,89.8,99.9,100.0,93.3,12.6,76.3,21.1,6.3,100.0,100.0,100.0,5.7,0.4,95.4,26.3,39.1,100.0,100.0,100.0,97.9,100.0,96.3,1.0,98.5,84.7,64.9,73.6,1.0,100.0,21.1,61.9,43.8,4.3,44.4,98.5,2.2,93.1,44.1,2.2,5.7,51.1,97.3,100.0,100.0,30.1,100.0,100.0,100.0,63.8378,41.8,100.0,75.8,45.1,100.0,9.0,100.0,8.7,100.0,64.9,100.0,100.0,100.0,1.0,100.0,48.4,28.5,100.0,8.4,0.6,85.5,100.0,2.1,73.2,0.0,2.1,91.6,100.0,100.0,100.0,45.7,100.0,96.2,4.3,6.8,78.9,78.1,99.9,8.9,73.2,100.0,99.8,95.0,66.9,3.4,1.0,95.1,100.0,100.0,84.2,94.1,96.1,79.7,13.7,31.8,57.0,83.9,14.0,29.9
2016,28.9,48.0,78.0,100.0,100.0,99.8,97.8,100.0,100.0,100.0,97.3,0.2,100.0,5.2,9.8,19.4,100.0,100.0,41.6,99.5,83.4,83.3,95.8,100.0,100.0,82.2,63.1,0.7,100.0,100.0,100.0,74.2,28.0,23.6,4.0,27.9,77.6,89.2,6.0,76.6,94.7,93.1,100.0,100.0,100.0,8.7,89.0,100.0,90.1,99.6,94.4,99.8,10.6,100.0,100.0,4.7,100.0,42.1,100.0,12.7,87.1,100.0,81.7,22.7,0.9,2.0,1.1,24.1,100.0,89.9,40.6,100.0,46.7,100.0,4.0,100.0,71.3,51.8,100.0,97.0,98.7,100.0,100.0,100.0,90.4,99.9,100.0,93.5,14.2,76.6,23.8,7.1,100.0,100.0,100.0,6.3,0.5,95.1,27.4,40.8,100.0,100.0,100.0,98.0,100.0,96.8,1.0,98.8,84.8,64.9,75.0,1.0,100.0,24.4,61.6,45.6,4.5,44.9,98.6,2.1,91.9,44.8,2.3,7.4,52.3,97.7,100.0,100.0,31.8,100.0,100.0,100.0,65.33108,43.4,100.0,78.1,46.6,100.0,9.0,100.0,9.3,100.0,66.0,100.0,100.0,100.0,1.3,100.0,51.85,28.3,100.0,8.6,0.6,87.2,100.0,2.3,74.3,0.0,2.3,92.4,100.0,100.0,100.0,47.0,100.0,95.6,4.7,7.5,80.0,79.7,99.9,9.9,75.95,100.0,99.8,95.0,69.4,4.0,1.1,95.1,100.0,100.0,83.4,93.9,95.8,84.4,14.3,32.8,55.8,85.0,13.3,29.9
2017,30.15,48.2,79.7,100.0,100.0,99.8,98.1,100.0,100.0,100.0,97.6,0.2,100.0,5.4,10.6,20.6,100.0,100.0,41.3,99.6,83.4,84.3,96.1,100.0,100.0,84.0,63.5,0.7,100.0,100.0,100.0,76.9,30.2,24.35,4.1,29.8,77.35,89.7,6.6,77.7,95.1,93.7,100.0,100.0,100.0,9.0,88.65,100.0,90.6,99.6,94.5,99.9,11.0,100.0,100.0,5.2,100.0,44.1,100.0,12.9,87.7,100.0,84.1,23.9,0.9,1.9,1.1,23.8,100.0,89.3,41.3,100.0,47.0,100.0,4.1,100.0,75.3,55.3,100.0,96.9,98.9,100.0,100.0,100.0,91.05,99.8,100.0,93.8,16.1,77.4,27.1,8.3,100.0,100.0,100.0,6.9,0.5,94.6,28.6,42.6,100.0,100.0,100.0,98.0,100.0,97.2,1.1,99.1,84.7,64.8,75.9,1.0,100.0,28.0,61.8,47.2,4.9,45.5,98.7,2.1,90.9,45.4,2.6,9.7,53.6,97.9,100.0,100.0,33.4,100.0,100.0,100.0,66.72478,44.5,100.0,80.0,48.5,100.0,9.3,100.0,9.9,100.0,67.2,100.0,100.0,100.0,1.7,100.0,55.2,28.4,100.0,8.5,0.7,88.6,100.0,2.6,75.7,0.0,2.6,93.2,100.0,100.0,100.0,47.75,100.0,95.05,5.2,8.1,81.1,81.2,99.9,11.2,78.5,100.0,99.9,95.1,71.3,4.6,1.1,95.1,100.0,100.0,83.2,93.3,95.5,88.6,14.8,33.7,55.0,85.8,12.8,29.9
2018,31.7,48.8,80.9,100.0,100.0,99.9,98.2,100.0,100.0,100.0,97.9,0.2,100.0,5.4,11.7,22.0,100.0,100.0,40.85,99.7,83.3,85.4,96.2,100.0,100.0,85.7,64.1,0.7,100.0,100.0,100.0,79.5,32.3,25.3,4.2,31.85,77.5,90.1,7.1,78.9,95.3,94.2,100.0,100.0,100.0,9.3,88.5,100.0,91.25,99.7,94.6,99.9,11.2,100.0,100.0,5.6,100.0,45.8,100.0,12.9,88.8,100.0,86.3,25.3,0.9,1.9,1.1,23.7,100.0,88.7,42.3,100.0,47.7,100.0,4.0,100.0,78.7,59.0,100.0,96.8,99.1,100.0,100.0,100.0,91.5,99.8,100.0,94.0,18.0,77.8,31.1,9.4,100.0,100.0,100.0,7.4,0.5,94.3,30.0,44.4,100.0,100.0,100.0,98.1,100.0,97.5,1.2,99.3,84.8,64.9,76.45,1.0,100.0,31.7,61.6,48.9,5.2,46.1,98.8,1.9,89.65,45.7,3.0,12.5,54.6,98.1,100.0,100.0,35.1,100.0,100.0,100.0,68.17142,46.1,100.0,82.2,50.2,100.0,9.5,100.0,10.7,100.0,68.1,100.0,100.0,100.0,2.4,100.0,57.6,28.8,100.0,8.5,0.7,89.9,100.0,3.0,76.9,0.0,2.9,93.7,100.0,100.0,100.0,48.4,100.0,94.3,5.9,9.0,82.0,82.35,99.9,12.4,81.0,100.0,99.9,95.2,73.5,5.4,1.2,95.1,100.0,100.0,82.25,92.7,95.4,91.7,15.5,34.5,54.1,86.6,12.1,30.1
2019,33.3,49.2,82.1,100.0,100.0,99.9,98.4,100.0,100.0,100.0,98.2,0.15,100.0,5.5,12.5,23.1,100.0,100.0,40.3,99.7,83.4,86.6,96.3,100.0,100.0,87.0,64.7,0.8,100.0,100.0,100.0,81.6,34.7,26.3,4.4,33.7,76.8,90.6,7.7,79.7,95.6,94.5,100.0,100.0,100.0,9.45,88.2,100.0,91.8,99.7,94.6,99.9,11.4,100.0,100.0,5.9,100.0,47.9,100.0,13.1,89.4,100.0,87.9,26.9,0.9,1.8,1.0,23.3,100.0,87.9,43.0,100.0,48.35,100.0,4.2,100.0,81.85,62.7,100.0,96.5,99.3,100.0,100.0,100.0,91.9,99.8,100.0,94.0,20.6,78.1,35.5,10.7,100.0,100.0,100.0,8.1,0.5,94.0,31.0,46.2,100.0,100.0,100.0,98.3,100.0,97.7,1.2,99.5,85.0,65.6,77.6,1.1,100.0,35.9,61.5,50.3,5.6,46.8,98.9,1.9,88.6,46.4,3.4,15.7,55.8,98.3,100.0,100.0,36.6,100.0,100.0,100.0,69.51773,47.9,100.0,84.4,51.8,100.0,9.6,100.0,11.4,100.0,68.8,100.0,100.0,100.0,3.3,100.0,60.8,29.7,100.0,8.6,0.7,90.9,100.0,3.5,78.5,0.0,3.2,94.2,100.0,100.0,100.0,48.7,100.0,93.2,6.6,9.7,83.2,83.8,99.9,13.6,83.2,100.0,99.9,95.1,73.95,6.0,1.3,95.1,100.0,100.0,81.95,92.4,94.9,94.1,16.1,35.6,52.7,87.3,11.5,30.1
2020,34.6,49.4,83.4,100.0,100.0,99.9,98.5,100.0,100.0,100.0,98.4,0.1,100.0,5.7,13.5,24.6,100.0,100.0,40.2,99.7,83.2,87.5,96.45,100.0,100.0,88.3,65.1,0.8,100.0,100.0,100.0,83.8,36.9,27.4,4.4,35.4,76.1,90.9,8.3,81.0,95.9,94.7,100.0,100.0,100.0,9.7,87.7,100.0,92.3,99.7,94.6,99.9,11.7,100.0,100.0,6.2,100.0,49.5,100.0,13.3,90.0,100.0,89.6,28.3,1.0,1.7,1.0,23.0,100.0,87.2,43.7,100.0,48.9,100.0,4.2,100.0,84.6,66.5,100.0,96.4,99.3,100.0,100.0,100.0,92.4,99.7,100.0,94.2,23.05,78.6,40.6,11.9,100.0,100.0,100.0,8.8,0.6,93.5,32.1,48.1,100.0,100.0,100.0,98.2,100.0,97.9,1.3,99.6,85.0,65.2,78.9,1.2,100.0,40.1,61.5,51.8,6.1,47.5,99.0,1.8,87.55,46.9,3.8,18.9,56.8,98.4,100.0,100.0,38.3,100.0,100.0,100.0,70.85754,49.5,100.0,86.5,54.0,100.0,9.8,100.0,12.1,100.0,69.35,100.0,100.0,100.0,4.3,100.0,63.4,30.7,100.0,8.6,0.8,92.0,100.0,3.7,79.5,0.0,3.5,94.6,100.0,100.0,100.0,49.4,100.0,92.4,7.4,10.6,84.4,84.8,99.9,14.9,85.2,100.0,99.9,95.3,75.0,6.9,1.4,95.3,100.0,100.0,80.7,91.9,94.55,95.9,17.2,36.6,51.3,88.1,10.9,30.3
2021,35.9,49.8,84.5,100.0,100.0,99.9,98.6,100.0,100.0,100.0,98.6,0.1,100.0,5.8,14.6,25.9,100.0,100.0,39.9,99.8,83.2,88.7,96.4,100.0,100.0,89.5,65.6,0.9,100.0,100.0,100.0,85.6,39.35,28.4,4.6,37.5,75.9,91.4,9.0,82.1,96.1,94.9,100.0,100.0,100.0,9.8,87.1,100.0,92.7,99.7,94.6,99.9,12.0,100.0,100.0,6.5,100.0,51.0,100.0,13.3,90.5,100.0,90.9,29.9,1.0,1.7,0.95,22.8,100.0,86.3,44.8,100.0,49.3,100.0,4.4,100.0,86.9,70.2,100.0,96.2,99.4,100.0,100.0,100.0,92.8,99.6,100.0,94.2,25.8,78.9,46.3,13.3,100.0,100.0,100.0,9.6,0.7,93.0,33.2,49.8,100.0,100.0,100.0,98.1,100.0,98.1,1.4,99.7,85.05,64.9,79.6,1.2,100.0,44.5,61.7,53.1,6.5,48.1,99.0,1.7,86.4,47.5,4.1,21.85,57.7,98.5,100.0,100.0,39.9,100.0,100.0,100.0,72.05898,51.3,100.0,88.4,55.6,100.0,9.9,100.0,13.1,100.0,70.2,100.0,100.0,100.0,5.7,100.0,65.7,32.1,100.0,8.6,0.8,92.9,100.0,4.3,81.1,0.0,3.9,95.1,100.0,100.0,100.0,49.5,100.0,91.1,8.0,11.4,85.2,85.8,99.9,16.3,87.0,100.0,99.9,95.3,76.4,7.8,1.5,95.1,100.0,100.0,79.8,90.8,94.4,97.2,18.1,37.8,50.1,88.7,10.2,30.3
2022,37.1,50.0,85.4,100.0,100.0,99.9,98.7,100.0,100.0,100.0,98.8,0.2,100.0,5.9,15.9,27.2,100.0,100.0,39.3,99.7,83.0,89.7,96.5,100.0,100.0,90.6,66.0,1.0,100.0,100.0,100.0,87.2,41.7,29.4,4.8,38.8,75.2,91.5,9.7,83.0,96.3,94.9,100.0,100.0,100.0,9.8,86.8,100.0,93.2,99.7,94.7,99.9,11.9,100.0,100.0,6.9,100.0,52.8,100.0,13.3,91.0,100.0,92.2,31.5,1.0,1.7,0.9,22.7,100.0,85.1,45.5,100.0,50.05,100.0,4.4,100.0,88.8,73.4,100.0,95.9,99.4,100.0,100.0,100.0,93.0,99.5,100.0,94.1,28.5,79.1,52.15,14.6,100.0,100.0,100.0,10.3,0.8,92.7,34.2,51.8,100.0,100.0,100.0,98.1,100.0,98.2,1.5,99.8,85.0,65.2,80.55,1.3,100.0,48.9,61.9,54.3,6.9,48.9,99.1,1.6,85.3,47.7,4.5,24.4,58.6,98.5,100.0,100.0,41.1,100.0,100.0,100.0,73.10341,53.0,100.0,90.1,57.6,100.0,10.2,100.0,13.6,100.0,70.7,100.0,100.0,100.0,7.3,100.0,68.2,33.5,100.0,8.6,0.8,93.7,100.0,4.8,82.0,0.0,4.2,95.4,100.0,100.0,100.0,49.9,100.0,90.1,8.8,12.3,86.0,86.9,99.8,17.8,88.6,100.0,99.9,95.3,76.75,8.7,1.6,95.1,100.0,100.0,79.0,90.4,93.9,98.1,19.3,38.6,48.8,89.2,9.7,30.5
2023,38.6,50.2,86.1,100.0,100.0,99.9,98.8,100.0,100.0,100.0,98.9,0.1,100.0,6.0,17.0,28.4,100.0,100.0,39.5,99.7,82.9,90.6,96.5,100.0,100.0,91.6,66.4,1.0,100.0,100.0,100.0,88.7,44.1,30.7,5.0,40.1,74.7,91.8,10.4,83.9,96.6,94.9,100.0,100.0,100.0,10.0,86.2,100.0,93.5,99.7,94.7,99.9,12.0,100.0,100.0,7.1,100.0,54.1,100.0,13.3,91.4,100.0,93.2,32.8,1.0,1.6,0.8,22.1,100.0,84.2,46.5,100.0,50.3,100.0,4.5,100.0,90.6,76.7,100.0,95.7,99.5,100.0,100.0,100.0,93.0,99.4,100.0,94.2,31.6,79.6,58.0,16.4,100.0,100.0,100.0,11.1,0.8,92.1,35.4,53.8,100.0,100.0,100.0,98.1,100.0,98.3,1.6,99.8,85.1,64.8,81.3,1.3,100.0,53.5,61.4,55.8,7.4,49.4,99.1,1.5,83.8,48.0,5.1,26.2,59.6,98.5,100.0,100.0,42.7,100.0,100.0,100.0,74.12161,54.9,100.0,91.8,59.5,100.0,10.5,100.0,14.5,100.0,71.3,100.0,100.0,100.0,9.3,100.0,70.55,34.8,100.0,8.7,0.9,94.4,100.0,5.4,83.1,0.0,4.6,95.7,100.0,100.0,100.0,50.3,100.0,88.8,9.7,13.2,86.8,87.9,99.8,19.1,90.1,100.0,99.9,95.3,77.0,9.8,1.8,94.9,100.0,100.0,78.1,89.5,93.5,98.7,20.6,39.7,47.3,89.8,9.2,30.7
