Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,0.170627,2.0614617,5.102676,,,6.3522506,,7.706422,11.2,10.8,,1.1224073,,1.2257488,0.5237581,,6.2136774,4.7114096,5.7256637,,,4.667765,,1.8454193,3.2017953,5.929779,4.902439,,2.1229167,1.2314211,6.2,,3.6742902,,1.3487695,2.002266,5.6740365,3.757085,2.5755472,,,4.790777,4.3664994,,4.52356,,10.5,7.8313255,4.5439467,,2.3286908,3.1874075,1.8706915,2.1469793,,,,0.2942339,,4.0406094,,,5.7139916,10.7,,0.7798937,0.73915815,1.1818181,1.621185,4.9960318,5.8,6.2222223,,2.6310875,5.5746922,2.6403394,1.6462513,,0.60883284,,0.74045706,1.8449837,0.4589869,,0.92567503,1.85804,9.8,6.7379375,8.9,4.1454883,3.6054502,9.0,,1.25048,,0.7465489,6.3636365,3.862745,,6.798561,0.47220945,4.5813394,1.3224254,2.7553744,4.2804255,3.1388412,1.1037204,,,,10.121387,1.5984001,,,2.4061859,,,,,0.6685057,9.258359,0.6630093,,8.68196,0.8088728,0.2048436,4.7166667,1.1187305,3.7281327,,0.40949088,0.4181671,2.158236,,,0.1157638,,11.7,0.33512545,11.153846,,0.5572616,3.7753108,2.411439,0.83895767,,,4.6,,,,2.3892508,,,7.2732706,,,0.77472395,1.006501,1.3131472,4.3924665,7.3305087,0.7728692,2.1834755,,1.3553191,,40.315456,6.510345,,,14.2,1.9447852,7.0983214,1.0767375,0.69745433,1.2650919,0.7400349,,,,2.5,5.589561,2.4676616,1.7,,1.4904459,1.4807985,,5.5118203,9.2,,4.825,,,,5.4307694,5.0,0.45454547,,2.8016555,3.876646
1961,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,8.8,,,,,,,,,,,
1966,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,0.199,2.721,,,,5.5858,,6.53,11.7,10.8,,1.2806,8.3,1.1549,0.5715,0.1551,,4.3429,5.0936,,,5.4014,,2.3217,3.6918,10.2216,3.5077,,,1.8756,7.0,,3.7764,1.54,1.1561,1.7515,3.3234,4.3872,2.0973,,1.4082,3.9396,4.6324,,5.3821,,11.3,6.0774,4.4444,8.1,2.6394,2.8425,2.3491,2.1805,,4.7,,0.2852,15.1,2.9096,,,9.9107,9.6,,1.3228,1.7585,,1.5746,,6.2,7.2537,14.3534,2.1711,4.763,4.1783,1.7531,,0.7843,,0.6546,1.9132314,0.6045,,1.3796,1.951,12.9,,10.6,4.1049,1.128,12.5,,1.2643,,1.081,12.3313,5.9465,,4.8347,0.9274,4.0987,1.5769,3.8137,5.0493,3.0169,1.7445,,,,5.2953,1.4742,,,2.7908,,,,5.4503,0.6791,,0.8581,,9.4952,1.1752,0.344,3.9516,1.5385,3.4697,,0.4947,0.5598,2.2803,,,0.1353,,10.8,,11.225,3.0746334,0.5208,2.9741,2.1728,1.1898,,6.6024,5.2,,,,1.6294,,5.5315,,,1.254,1.1814,1.0426,1.2985,3.6983,7.3416,0.9255,1.9024,,1.3557,,26.7123,5.6774,,,15.3,3.3747,6.4925,0.9934,1.31,1.5333,1.1373,,,,2.593,4.9434,2.4443,2.0,,,1.5587,,5.9127,7.9,,4.9886,,,,10.7349,4.5582,0.8097,,3.1611,3.4954
1971,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,
1972,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,
1973,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,
1974,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,0.343,,,,,,,,
1975,,,,,,,,,11.9,,,1.1232,,,,,,,,,,,,2.0588,4.9951,,,,,,,,,1.92,,2.4659,3.2253,,,,,,,,,,,,,8.5,2.5015,,2.5463,2.0366,,,,0.2857,,3.3333,10.6,,,,,1.2508,,,,,,,,2.0027,4.9728,5.0413,1.7037,,0.776,,0.8183,,0.5882,,,,,8.0793,10.6,4.9995,1.026,,,1.25,,,,,,,,,1.647,,,3.3333,1.6284,,,,,1.4286,,,2.4313,,,,5.4444,0.7143,,,,,,0.3443,3.2997,,3.3467,,0.4953,0.5558,2.4119,,,0.1377,,,,,2.4008803,0.5263,3.3817,2.5,1.7095,,4.9432,,,,,1.683,,,,,1.2426,,0.9932,1.2901,3.3333,,0.9069,1.985,,1.422,,,,,,,,4.9497,1.0,,1.4399,1.1119,,,,,4.9852,2.5,2.0,,,1.6485,,5.0018,6.8,,,0.3315,,,,,0.8655,,3.3368,3.3137
1976,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,6.9,,,2.0,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3109,,,,,,,,,,,,,,,,,,,,,,,,,,1.7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4313,,,,6.6,,,0.3429,,,,,,,,
1977,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,6.9,,,2.07,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,
