Date,ARC
1979,16.175
1980,15.955
1981,15.604
1982,15.974
1983,16.006
1984,15.299
1985,15.466
1986,15.785
1987,16.05
1988,15.583
1989,15.495
1990,15.578
1991,15.249
1992,15.462
1993,15.686
1994,15.562
1995,15.226
1996,15.155
1997,15.437
1998,15.746
1999,15.309
2000,15.141
2001,15.211
2002,15.342
2003,15.193
2004,14.914
2005,14.373
2006,14.325
2007,14.513
2008,14.953
2009,14.812
2010,14.581
2011,14.363
2012,14.553
2013,14.723
2014,14.418
2015,14.401
2016,14.203
2017,14.12
2018,13.967
2019,14.394
2020,14.642
2021,14.39
2022,14.612
2023,14.189
2024,14.607
2025,13.745
