Date,AFG,AGO,AIA,AND,ARE,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BLR,BRB,BTN,BWA,CHE,CHN,CIV,CMR,COD,COG,COK,COM,CPV,CRI,CUB,CYM,CZE,DEU,DJI,DMA,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,FSM,GEO,GHA,GIB,GIN,GMB,GRD,HKG,HND,HUN,IDN,IND,ISR,ITA,JAM,JOR,KHM,KIR,KNA,KOR,KWT,LBR,LCA,LKA,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MMR,MRT,MSR,MUS,MYS,NER,NIC,NIU,NLD,NOR,NPL,NRU,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,POL,PRI,PRT,PRY,PSE,QAT,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,STP,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TKL,TKM,TLS,TON,TUN,TUR,TUV,URY,USA,UZB,VCT,VEN,VGB,VNM,WSM,ZWE
2000,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,49.13,,100.0,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,47.2,,100.0,,100.0,,,,47.4,,,,,,,,,,,100.0,,,,,,,,,,,91.32,,,,,,,,,,,,,
2012,,,,,,,,100.0,100.0,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,100.0,100.0,,,,,,,,50.76,,100.0,,100.0,,,,44.43,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,100.0,100.0,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,,,100.0,100.0,,,,,,,,51.92,,100.0,,100.0,,,,46.82,,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,,,,,,,,,
2014,,,,,,,,100.0,100.0,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,85.54,,,,100.0,,,100.0,100.0,,,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,,,100.0,100.0,,,,,,,,53.07,,100.0,,100.0,,,,46.84,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,100.0,,,,62.46,,,,,,
2015,,,,,,,,100.0,100.0,,,100.0,,,,,,100.0,85.23,,100.0,,,,0.0,,,,,,,,100.0,100.0,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,,88.37,,,,100.0,,,100.0,100.0,,,,,100.0,100.0,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,,,100.0,100.0,,,,82.56,,,,54.23,,100.0,,100.0,,,,48.06,,,,,,79.25,,,,100.0,100.0,,,,,,,,,,,,,,100.0,,100.0,100.0,67.57,,,,,,58.16
2016,66.96,53.66,,100.0,,,,100.0,100.0,100.0,71.41,100.0,,41.8,,100.0,100.0,100.0,,,100.0,99.56,100.0,,,,100.0,,100.0,77.98,,,100.0,100.0,,100.0,100.0,,57.91,,100.0,100.0,,100.0,100.0,,100.0,,100.0,55.59,90.0,100.0,100.0,,100.0,47.28,88.88,100.0,100.0,92.94,,,,100.0,100.0,100.0,63.32,100.0,84.0,,100.0,100.0,100.0,89.11,100.0,100.0,,100.0,,,,69.5,100.0,100.0,98.08,51.67,,100.0,100.0,100.0,,,100.0,82.25,,,79.75,55.39,,100.0,,100.0,79.68,100.0,100.0,50.68,100.0,93.44,,100.0,23.89,,87.11,,,100.0,100.0,,82.76,100.0,,,,,,,,,,,100.0,,100.0,,68.86,100.0,,83.33,,100.0,56.72
2017,71.09,,,100.0,,,100.0,100.0,100.0,100.0,72.07,100.0,,,97.01,100.0,100.0,100.0,83.33,,100.0,99.54,,,,,100.0,,100.0,71.9,,,100.0,100.0,94.83,,100.0,,58.48,,100.0,100.0,,100.0,100.0,,100.0,,100.0,,89.72,100.0,100.0,,,,87.6,100.0,,92.94,100.0,,,100.0,100.0,100.0,75.43,100.0,85.88,100.0,100.0,,100.0,92.13,100.0,100.0,,100.0,,,76.95,63.58,100.0,100.0,98.33,,,,100.0,98.18,,,100.0,82.14,,,78.1,56.54,,100.0,,100.0,,99.08,100.0,,100.0,,,100.0,,61.46,82.07,,100.0,100.0,100.0,100.0,91.58,100.0,,,,,,,,,,99.46,100.0,,100.0,,69.1,100.0,,83.33,,100.0,55.69
