Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,,2867.1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,2829.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.80635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4731.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,3175.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.14423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613.9087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,3235.7468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.53607,,,,,1009.37714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725.5195,,141.02724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,3660.1975,,5.4305177,,,,8.018357,,,,,,,,,,,,,,,,,,,,,,,,,,,170.26149,,,346.20383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97098,,,,,5097.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.83476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09551847,4986.7534,,212.98679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.623114,,,,,,
1965,,,3984.0767,,256.55685,,,,,,,,,95.4997,,,,,,,,,,,,,,,,,,,,,,183.85002,,,269.68396,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.430775,,,,,8695.471,,207.59578,,,,,,,,,32.244965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.53062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4554.197,,827.3456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.398968,,,,,,
1966,,,5443.0874,,249.2245,,,,,,,,,7.7688923,,,,,,,,,,,,,,,,,,,,,,178.71849,,,417.13293,0.0,,,118.58223,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,10768.811,,,,,,,,,,,32.1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.02347,,,,3.5731905,,26.561874,,,,,,,,,,,,,,,,,,,,,,,,,,14.090401,4531.9976,,1127.7183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.707623,,,,1.9806924,,
1967,,,6313.5767,,212.09605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.723715,,,423.50052,72.730286,,,114.76269,,,,,,,,,,,,,,,,,,,111.6303,,,,,,,,,,,,,10460.163,,215.82518,,,,,,,,,32.037426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.24396,,,,6.971851,,33.043556,,,,,,,,,,,,,,,,,,,,,,,,,,,4414.554,,1146.7594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42038,,,,2.215213,,
1968,,,6687.3516,,199.14464,,,,8.448351,,,,,,,,,,,,,,,,,,,,,,,,,,,8.962742,,,354.14114,25.065989,,,159.15787,,,,,,,,,,,,,,,,,,,117.70096,,,,,,,,,,,,,9813.553,,216.56552,,,,,,,,,31.919416,,,,,29.719265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.6152,,,,3.1738439,,185.87074,,,95.63417,,,,,,,,,,,,,,,,,,,,,,,,4276.16,,1607.4364,,,,,,,,,,,,,,,,20.071115,,,,,,,,,,,,,,,,,,,,,,,55.36735,,,,3.5309913,368.94913,
1969,,,7082.0913,,201.70343,,,,8.25071,,,,,,,,,,1.0669483,,,,,,,,,,,,,,,,,8.10332,,,278.6344,0.0,,,143.23877,,167.30824,,,,,,,,,,,,,,,,,114.50703,,,,,,,,,,,,,11656.995,,216.41534,,,,,,,,,32.679756,,,,,28.713154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.52655,,,,4.202439,,114.11105,,,5.2167306,,,,,,,,,,,,,,,,,,,,,,,,3753.4243,,1508.1062,,,,,,,,,,,,,,,,19.432653,,,,,,,,,,,,,,,,,,,,,,,54.211098,,,,1.3416808,309.73642,
